Country,University,Year,Donations,Public Grants,Tuition Fees,Total Income,"Total Income, €",Ac.Staff,Student,NIS,CSRC,CSRF,Rept,Tng,NSR,CSR,Edu,NST,CST,SCST,Reputation,Teaching,NSR,CSR,Edu,NST,CST,SCST,
DK,IT University of Copenhagen (ITU),2022,,"302,021,000 kr.","8,434,000 kr.","392,998,000 kr.","€ 52,670,876",275 ,1851 ,,2.0 ,46 ,119 ,110 ,0 ,2537 ,114 ,95 ,427 ,261 ,R,,,,,,,,
CH,Swiss Federal Institute of Technology Lausanne (EPFL),2023,"23,000,000 CHF","765,000,000 CHF","22,000,000 CHF","1,158,000,000 CHF","€ 1,184,672,911",3976 ,12720 ,188.78 ,6.0 ,61 ,122 ,136 ,575 ,1483 ,132 ,191 ,302 ,247 ,1.005720 ,1.078771 ,1.000026 ,1.000019 ,,,,,
CH,Swiss Federal Institute of Technology Zurich (ETH Zurich),2023,"132,000,000 CHF","1,365,000,000 CHF","37,000,000 CHF","1,956,000,000 CHF","€ 2,001,053,725",7447 ,25022 ,346.55 ,10.0 ,47 ,127 ,133 ,536 ,973 ,133 ,186 ,236 ,211 ,Average,,,,,,,,
FR,École Normale Supérieure - PSL (ENS-PSL),2022,"€ 508,771","€ 110,923,558","€ 1,081,269","€ 130,198,981","€ 130,198,981",551 ,2641 ,18.95 ,2.0 ,27 ,121 ,122 ,279 ,1058 ,123 ,142 ,240 ,191 ,100.0000 ,100.0000 ,100.0000 ,100.0000 ,100.0000 ,100.0000 ,100.0000 ,100.0000 ,
FR,École Normale Supérieure de Lyon (ENS de Lyon),2022,,"€ 128,755,388","€ 28,000","€ 153,265,529","€ 153,265,529",548 ,2426 ,14.13 ,1.6 ,30 ,121 ,126 ,226 ,1025 ,126 ,136 ,238 ,187 ,100 ,,,,,,,,
FR,ESPCI Paris - PSL,2022,,"€ 12,230,000","€ 190,000","€ 34,270,000","€ 34,270,000",200 ,396 ,9.81 ,,,120 ,141 ,954 ,0 ,135 ,249 ,111 ,180 ,?,,,,,,,,
CH,University of Bern (UniBE),2022,,"100,305,000 CHF","18,649,000 CHF","944,209,000 CHF","€ 965,957,534",3195 ,4731 ,92.49 ,1.1 ,1 ,107 ,156 ,755 ,12 ,140 ,223 ,115 ,169 ,30.5111,18.2695,151.1456,282.9532,17.0678,29.6927,41.1480,30.5220,
IT,Scuola Normale Superiore (SNS),2022,"€ 21,241","€ 49,358,458",,"€ 64,021,570","€ 64,021,570",218 ,642 ,13.35 ,,,122 ,138 ,803 ,0 ,134 ,226 ,109 ,168 ,,,,,,,,,
UK,University of Cambridge,2023,"£132,400,000","£207,600,000","£390,100,000","£2,518,300,000","€ 2,936,426,592",5515 ,22610 ,366.52 ,3.2 ,48 ,79 ,137 ,627 ,354 ,116 ,188 ,144 ,166 ,,,,,,,,,
UK,University of Oxford,2023,"£183,700,000","£229,200,000","£504,200,000","£2,924,700,000","€ 3,410,303,321",6580 ,27290 ,378.45 ,3.6 ,50 ,78 ,136 ,537 ,344 ,115 ,174 ,142 ,158 ,,,,,,,,,
UK,Imperial College London (ICL),2023,"£52,000,000","£183,000,000","£452,000,000","£1,269,000,000","€ 1,479,698,743",4005 ,21470 ,216.29 ,3.6 ,53 ,55 ,125 ,391 ,463 ,99 ,142 ,146 ,144 ,,,,,,,,,
DK,Technical University of Denmark (DTU),2022,,"2,802,082,000 kr.","85,816,000 kr.","5,801,215,000 kr.","€ 777,497,788",3382 ,9957 ,77.96 ,1.6 ,22 ,119 ,134 ,304 ,185 ,130 ,150 ,131 ,141 ,,,,,,,,,
NL,Delft University of Technology (TU Delft),2022,,"€ 575,900,000","€ 71,400,000","€ 913,700,000","€ 913,700,000",6351 ,26978 ,80.08 ,3.5 ,76 ,112 ,118 ,116 ,513 ,117 ,114 ,165 ,139 ,,,,,,,,,
IT,Sant'Anna School of Advanced Studies of Pisa (SSSA),2022,,"€ 47,868,762","€ 3,208,628","€ 76,603,690","€ 76,603,690",393 ,819 ,2.85 ,1.2 ,4 ,116 ,141 ,135 ,306 ,134 ,128 ,149 ,139 ,,,,,,,,,
DK,University of Copenhagen (UCPH),2022,,"5,392,321,000 kr.","91,601,000 kr.","9,640,000,000 kr.","€ 1,291,984,296",5809 ,27380 ,207.48 ,2.0 ,43 ,120 ,121 ,294 ,164 ,122 ,143 ,123 ,133 ,,,,,,,,,
FR,École Normale Supérieure Paris-Saclay (ENS Paris-Saclay),2021,"€ 100,000","€ 85,600,000","€ 1,300,000","€ 94,900,000","€ 94,900,000",293 ,2000 ,2.57 ,1.2 ,14 ,120 ,117 ,50 ,437 ,119 ,105 ,157 ,131 ,,,,,,,,,
FI,Aalto University,2023,"€ 4,630,000","€ 239,000,000",,"€ 384,000,000","€ 384,000,000",3611 ,13941 ,49.92 ,2.3 ,35 ,123 ,117 ,139 ,301 ,121 ,120 ,140 ,130 ,,,,,,,,,
CH,University of Basel (UB),2022,"14,372,360 CHF","509,643,762 CHF",,"751,869,907 CHF","€ 769,188,179",5417 ,12896 ,100.26 ,,,124 ,134 ,302 ,0 ,132 ,151 ,108 ,130 ,,,,,,,,,
DK,Aarhus University (AU),2022,,"4,234,471,000 kr.","64,976,000 kr.","7,316,000,000 kr.","€ 980,514,223",4846 ,26090 ,125.28 ,2.8 ,33 ,120 ,117 ,187 ,185 ,119 ,126 ,124 ,125 ,,,,,,,,,
NL,Eindhoven University of Technology (TU/e),2022,,"€ 314,100,000","€ 28,100,000","€ 477,800,000","€ 477,800,000",2396 ,12876 ,59.86 ,1.6 ,26 ,114 ,117 ,181 ,169 ,117 ,123 ,120 ,122 ,,,,,,,,,
UK,The University of Edinburgh,2023,"£55,100,000","£210,900,000","£513,700,000","£1,385,000,000","€ 1,614,958,833",5015 ,41250 ,127.71 ,4.9 ,78 ,55 ,112 ,121 ,482 ,90 ,96 ,143 ,120 ,,,,,,,,,
CH,University of Zurich (UZH),2023,"3,581,000 CHF","987,439,000 CHF","33,702,000 CHF","1,570,476,000 CHF","€ 1,606,649,718",4540 ,27895 ,142.50 ,1.9 ,12 ,119 ,121 ,199 ,43 ,121 ,129 ,107 ,118 ,,,,,,,,,
CH,Università della Svizzera Italiana (USI),2022,,"75,144,893 CHF","15,984,458 CHF","107,678,803 CHF","€ 110,159,034",485 ,3922 ,5.91 ,1.4 ,18 ,105 ,108 ,59 ,335 ,107 ,99 ,135 ,117 ,,,,,,,,,
FR,Chimie ParisTech - PSL,2024,*,*,*,*,*,96 ,498 ,5.36 ,,,100 ,100 ,418 ,0 ,100 ,147 ,87 ,117 ,,,,,,,,,
CH,University of Geneva (UNIGE),2023,"3,158,729 CHF","679,383,671 CHF",,"825,582,486 CHF","€ 844,598,624",3039 ,18261 ,104.12 ,,,122 ,118 ,222 ,0 ,121 ,132 ,101 ,116 ,,,,,,,,,
IT,University of Padova (UNIPD),2022,,"€ 445,684,557","€ 103,976,679","€ 715,010,067","€ 715,010,067",2268 ,12739 ,62.30 ,1.3 ,12 ,104 ,121 ,190 ,64 ,116 ,124 ,106 ,115 ,,,,,,,,,
NL,Wageningen University & Research (WUR),2022,,"€ 422,400,000","€ 32,800,000","€ 852,200,000","€ 852,200,000",3717 ,13678 ,55.20 ,,,115 ,128 ,157 ,0 ,125 ,125 ,104 ,114 ,,,,,,,,,
FR,École Polytechnique,2022,*,*,*,"€ 167,588,000","€ 167,588,000",2297 ,3700 ,16.07 ,,,,135 ,169 ,0 ,123 ,126 ,103 ,114 ,,,,,,,,,
SE,KTH Royal Institute of Technology,2022,,"2,660,597,000 kr","703,808,000 kr","5,425,973,000 kr","€ 470,650,224",843 ,13583 ,54.93 ,2.0 ,30 ,102 ,101 ,157 ,230 ,102 ,110 ,118 ,114 ,,,,,,,,,
LU,University of Luxembourg,2022,,"€ 236,100,000",,"€ 328,700,000","€ 328,700,000",1240 ,7267 ,17.69 ,1.3 ,9 ,122 ,118 ,95 ,84 ,121 ,113 ,112 ,112 ,,,,,,,,,
NL,Radboud University Nijmegen (RU),2022,,"€ 402,124,000","€ 35,660,000","€ 714,862,000","€ 714,862,000",3467 ,24402 ,88.36 ,1.8 ,29 ,114 ,110 ,141 ,112 ,112 ,114 ,110 ,112 ,,,,,,,,,
NO,University Centre in Svalbard (UNIS),2021,,"kr 40,032,000",,"kr 211,959,937","€ 18,243,059",111 ,482 ,1.75 ,,,122 ,120 ,141 ,0 ,122 ,121 ,101 ,111 ,,,,,,,,,
CH,University of Lausanne (UNIL),2022,,"341,050,000 CHF","16,490,000 CHF","738,450,000 CHF","€ 755,459,163",2547 ,16908 ,67.90 ,,,117 ,116 ,156 ,0 ,118 ,120 ,99 ,110 ,,,,,,,,,
NO,University of Oslo (UiO),2023,"kr 594,631,000","kr 6,264,575,000","kr 103,045,000","kr 9,529,689,000","€ 820,205,373",4194 ,26128 ,86.06 ,,,128 ,112 ,128 ,0 ,120 ,117 ,100 ,109 ,,,,,,,,,
FI,University of Helsinki,2022,"€ 1,355,550","€ 413,331,000",,"€ 1,051,105,118","€ 1,051,105,118",4206 ,31252 ,73.16 ,1.6 ,18 ,122 ,111 ,91 ,48 ,116 ,109 ,104 ,107 ,,,,,,,,,
